label,text
3024100,cá_trích đông_lạnh mới 100
3024400,cá_ngừ đông_lạnh
3024400,cá_ngừ file đông_lạnh
3035100,cá_trích đông_lạnh nguyên con clupea pallasii size 250 350 gram con
3035300,cá_mòi hàng mới 100
3035400,ca saba dong lanh frozen pacific mackerel scomber japonicus
3035400,cá saba đông_lạnh 250g 400g
3035400,cá saba đông_lạnh 300g
3035400,cá saba đông_lạnh mới 100
3035400,cá_thu đông_lạnh size 150 250g con
3035400,cá_thu nguyên con đông_lạnh size 150 250 g con
3035400,cá_thu size 180 220g con đông_lạnh
3061100,tôm_càng đông_lạnh norway lobsters no 0
3061410,cua_lột đông_lạnh packing 10kg thùng
3061410,cua_lột nguyên con đông_lạnh size 100gr pcs 120gr pcs
3061490,càng_cua đông_lạnh frozen king_crab
3061600,tôm sắt nước_lạnh nguyên con đông_lạnh frozen amaebi shrimp pandalus borealis size my
3061710,tôm sã hlso đông_lạnh loại 500grs size 13 15 hđ 2011 ltc jccu cc 02 tê khai 56529 xkd01 kv1 cl ngày 26 07 2011
3061710,tôm_sú đông_lạnh size 13 15
3061710,tôm_sú không đầu lột vỏ chừa đuôi đông lạnhn 2 0 lbs túi x 10 thùng 100 net size 21 25
3061710,tôm_sú nobashi đông_lạnh
3061710,tôm_sú tươi đông_lạnh
3061710,tôm_sú tươi đông_lạnh size 13 15 đóng_gói 10pcs bag x 5 bags pack x 4 packs carton x 2 cartons bundle gồm 110 thùng 55 bó hàng trả về thuộc tờ khai xuất số 7506 xkd01 c02l ngày 11 11 2011
3061720,tôm chân trắng maneki pw nobashi đông_lạnh size 16 20
3061720,tôm chân trắng pd luộc đông_lạnh size 60 90
3061720,tôm chân trắng twf pw nobashi đông_lạnh size 21 25
3061720,tôm_thẻ chân trắng đông_lạnh
3061720,tôm_thẻ chân trắng nguyên con bỏ đầu đông_lạnh size 21 25 quy_cách đóng_gói 6x4 lbs thùng
3061720,tôm_thẻ chân trắng vỏ tươi đông_lạnh lặt đầu 21 25
3062110,tôm giống chân trắng bố mẹ
3062110,tom hum bong panulirus ornatus tôm bột làm giống 3 10cm
3062110,tôm_hùm đá giống panulirus homarus
3062110,tôm_sú giống cái penaeus monodon
3062110,tôm_sú giống_đực penaeus monodon
3062110,tôm_thẻ bố_mẹ giống đực cái penaeus vannamei
3062120,tôm_hùm_đá 0 8 3 0 kg con tên khoa_học panulirus_homarus
3062120,tôm_hùm đá 0 8 3 0 kg con tên khoa_học panulirus_homarus
3062210,tôm_hùm bông giống panulirus ornatus
3062210,tôm_hùm đá giống panulirus homarus
3062220,tôm_hùm đá sống panulirus homarus
3062220,tôm_hùm đá sống panulirus homarus
3062220,tôm_hùm đá sống panulirus homarus
3062299,nguyên_liệu sx mì gói tôm sấy khô
3062299,trứng tôm hàng mới 100
3062410,cua_biển sống cua_thịt 0 7 1 2 kg con tên khoa_học scylla_paramamosain
3062410,cua_biển sống cua_thịt 0 7 1 2 kg con tên khoa_học sylla_paramamosain
3062420,con cua_cuits 600 800gr tươi
3062420,con cua_tươi 600 800gr
3062420,con cue tourteaux_cuits
3062610,tôm giống tôm_thẻ chân trắng penaeus vannamei tôm cái
3062610,tôm giống thẻ chân trắng penaeus vannamei tôm cái kích_cỡ lớn hơn 10cm
3062610,tôm giống thẻ chân trắng penaeus vannamei tôm cái kích_cỡ 10 cm trở lên
3062610,tôm giống thẻ chân trắng penaeus vannamei tôm cái
3062610,tôm_thẻ chân trắng bố_mẹ penaeus vannamei cái 100 con đực 100 con
3062711,tôm_sú penaeus monodon con_cái
3062712,tôm_sú giống penaeus monodon tôm_post_larvae
3062712,tôm_thẻ chân trắng bố_mẹ size 42 45 g con
3062712,tôm_thẻ chân trắng giống penaeus vannamei tôm_bố
3062712,tôm_thẻ chân trắng penaeus vannamei để làm giống 5 hàng miễn_phí foc
